,date,home_team,home_goals_offense,home_goals_defense,home_offense,home_in_game,home_defense,away_team,away_goals_offense,away_goals_defense,away_offense,away_in_game,away_defense,result
127,2010-11-28,Sp Gijon,0.63,1.5,0.48,0.47,0.47,Sociedad,1.64,1.6,0.51,0.63,0.37,0.0
128,2010-11-28,Valencia,1.31,1.0,0.58,0.45,0.45,Almeria,0.63,2.2,0.47,0.61,0.4,1.0
129,2010-11-29,Barcelona,3.95,0.5,0.82,0.65,0.65,Real Madrid,2.66,1.2,0.71,0.6,0.59,1.0
130,2010-12-04,Levante,1.34,1.3,0.48,0.52,0.33,Ath Madrid,1.58,1.7,0.58,0.51,0.33,1.0
131,2010-12-04,Osasuna,0.81,1.3,0.46,0.5,0.45,Barcelona,3.95,0.4,0.79,0.67,0.66,0.0
132,2010-12-04,Real Madrid,2.57,1.2,0.76,0.59,0.64,Valencia,1.12,1.2,0.56,0.43,0.42,1.0
133,2010-12-05,Almeria,0.73,2.2,0.49,0.62,0.4,Zaragoza,1.03,1.7,0.53,0.4,0.49,0.5
134,2010-12-05,Espanol,1.43,0.6,0.55,0.44,0.55,Sp Gijon,0.57,1.5,0.47,0.48,0.51,1.0
135,2010-12-05,Getafe,1.61,1.2,0.63,0.53,0.43,Mallorca,1.27,1.2,0.47,0.62,0.41,1.0
136,2010-12-05,Malaga,1.03,1.8,0.54,0.56,0.33,Santander,0.82,1.8,0.58,0.55,0.45,1.0
137,2010-12-05,Sociedad,1.73,1.3,0.48,0.63,0.38,Ath Bilbao,1.15,2.2,0.6,0.5,0.42,1.0
138,2010-12-05,Villarreal,1.97,0.9,0.57,0.55,0.57,Sevilla,1.21,1.8,0.58,0.53,0.45,1.0
139,2010-12-06,La Coruna,1.09,0.9,0.47,0.64,0.48,Hercules,1.06,1.8,0.47,0.52,0.34,1.0
140,2010-12-11,Ath Madrid,1.69,1.5,0.63,0.53,0.37,La Coruna,0.87,1.1,0.44,0.64,0.44,1.0
141,2010-12-11,Getafe,1.61,1.0,0.59,0.51,0.43,Villarreal,1.51,0.9,0.56,0.56,0.56,1.0
142,2010-12-11,Sevilla,1.21,2.1,0.61,0.52,0.41,Almeria,1.01,2.0,0.52,0.61,0.38,0.0
143,2010-12-12,Ath Bilbao,1.3,1.7,0.63,0.5,0.43,Espanol,1.37,0.9,0.56,0.45,0.5,1.0
144,2010-12-12,Barcelona,4.09,0.3,0.84,0.68,0.68,Sociedad,1.61,1.8,0.44,0.65,0.32,1.0
145,2010-12-12,Hercules,1.55,1.7,0.52,0.52,0.35,Malaga,1.07,2.1,0.5,0.55,0.3,1.0
146,2010-12-12,Mallorca,0.97,1.2,0.47,0.63,0.44,Santander,0.94,1.6,0.56,0.57,0.49,0.0
147,2010-12-12,Sp Gijon,0.67,1.4,0.5,0.48,0.53,Levante,1.33,1.3,0.45,0.52,0.33,0.5
148,2010-12-12,Zaragoza,0.97,2.0,0.52,0.42,0.45,Real Madrid,2.75,1.3,0.77,0.59,0.63,0.0
149,2010-12-13,Valencia,1.43,1.5,0.6,0.44,0.41,Osasuna,1.06,1.7,0.5,0.5,0.43,0.5
150,2010-12-18,Espanol,1.42,1.6,0.54,0.44,0.45,Barcelona,4.45,0.3,0.84,0.68,0.66,0.0
151,2010-12-18,La Coruna,0.97,0.8,0.46,0.64,0.46,Sp Gijon,0.67,1.3,0.5,0.49,0.52,0.5
152,2010-12-18,Levante,1.39,1.4,0.46,0.53,0.33,Ath Bilbao,1.45,1.8,0.62,0.5,0.43,0.0
153,2010-12-18,Sociedad,1.54,2.0,0.45,0.65,0.34,Valencia,1.43,1.6,0.59,0.45,0.43,0.0
154,2010-12-18,Villarreal,1.69,0.8,0.59,0.58,0.57,Mallorca,0.99,1.6,0.47,0.61,0.42,1.0
155,2010-12-19,Almeria,1.22,2.3,0.53,0.61,0.35,Getafe,1.79,1.1,0.64,0.51,0.41,0.0
156,2010-12-19,Malaga,0.95,2.4,0.48,0.55,0.31,Ath Madrid,1.85,1.2,0.63,0.53,0.38,0.0
157,2010-12-19,Osasuna,1.0,1.5,0.49,0.51,0.47,Zaragoza,0.79,1.6,0.5,0.43,0.47,0.5
158,2010-12-19,Real Madrid,2.48,1.1,0.73,0.55,0.65,Sevilla,0.87,2.0,0.57,0.5,0.43,1.0
159,2010-12-20,Santander,0.91,1.5,0.54,0.57,0.5,Hercules,1.33,1.4,0.48,0.53,0.38,0.5
160,2011-01-02,Ath Bilbao,1.43,1.6,0.62,0.49,0.44,La Coruna,1.06,1.0,0.45,0.62,0.44,0.0
161,2011-01-02,Barcelona,4.06,0.4,0.82,0.67,0.67,Levante,1.18,1.6,0.45,0.53,0.31,1.0
162,2011-01-02,Sevilla,0.97,1.8,0.59,0.51,0.46,Osasuna,0.94,1.5,0.48,0.5,0.46,1.0
163,2011-01-02,Sp Gijon,0.7,1.5,0.5,0.49,0.51,Malaga,1.06,2.1,0.5,0.55,0.32,0.0
164,2011-01-02,Valencia,1.61,1.5,0.6,0.44,0.44,Espanol,1.3,1.9,0.54,0.45,0.46,1.0
165,2011-01-03,Ath Madrid,1.49,1.0,0.6,0.54,0.4,Santander,0.75,1.1,0.52,0.58,0.49,0.5
166,2011-01-03,Getafe,1.94,1.4,0.62,0.51,0.39,Real Madrid,2.33,1.2,0.75,0.53,0.61,0.0
167,2011-01-03,Mallorca,1.33,1.3,0.51,0.63,0.45,Hercules,1.21,1.5,0.49,0.54,0.34,1.0
168,2011-01-03,Villarreal,1.79,0.7,0.59,0.58,0.58,Almeria,1.19,2.0,0.49,0.6,0.34,1.0
169,2011-01-03,Zaragoza,0.94,1.6,0.55,0.44,0.47,Sociedad,1.45,1.9,0.44,0.65,0.32,1.0
170,2011-01-08,La Coruna,1.06,1.3,0.43,0.63,0.42,Barcelona,4.09,0.4,0.84,0.68,0.69,0.0
171,2011-01-08,Malaga,1.18,1.8,0.49,0.55,0.33,Ath Bilbao,1.27,1.5,0.62,0.49,0.45,0.5
172,2011-01-08,Sociedad,1.39,2.2,0.46,0.65,0.32,Sevilla,1.09,1.6,0.61,0.52,0.43,0.0
173,2011-01-09,Espanol,1.58,1.6,0.56,0.46,0.48,Zaragoza,0.91,1.8,0.52,0.44,0.44,1.0
174,2011-01-09,Levante,1.03,1.4,0.44,0.53,0.31,Valencia,1.49,1.2,0.59,0.46,0.46,0.0
175,2011-01-09,Mallorca,1.71,1.4,0.53,0.63,0.45,Almeria,1.12,2.4,0.5,0.61,0.31,1.0
176,2011-01-09,Osasuna,0.66,1.4,0.49,0.5,0.46,Getafe,1.55,1.4,0.61,0.52,0.42,0.5
177,2011-01-09,Real Madrid,2.49,1.2,0.76,0.53,0.61,Villarreal,1.79,1.2,0.58,0.59,0.52,1.0
178,2011-01-09,Santander,0.75,0.9,0.53,0.59,0.46,Sp Gijon,0.76,1.3,0.52,0.49,0.52,0.5
179,2011-01-10,Hercules,1.45,1.5,0.53,0.54,0.35,Ath Madrid,1.45,1.3,0.61,0.55,0.37,1.0
180,2011-01-15,Ath Bilbao,1.33,1.5,0.62,0.5,0.45,Santander,0.61,0.9,0.53,0.57,0.46,1.0
181,2011-01-15,Getafe,1.27,1.7,0.61,0.53,0.39,Sociedad,1.73,2.0,0.47,0.64,0.34,0.0
182,2011-01-15,Sevilla,1.25,1.5,0.6,0.53,0.43,Espanol,1.79,1.4,0.54,0.48,0.47,0.0
183,2011-01-15,Sp Gijon,0.97,1.1,0.53,0.5,0.55,Hercules,1.39,1.6,0.48,0.53,0.35,1.0
184,2011-01-15,Villarreal,2.19,1.5,0.62,0.6,0.54,Osasuna,0.91,1.5,0.5,0.51,0.4,1.0
185,2011-01-15,Zaragoza,0.94,1.7,0.52,0.43,0.49,Levante,0.81,1.4,0.43,0.53,0.33,1.0
186,2011-01-16,Almeria,1.09,2.3,0.49,0.61,0.32,Real Madrid,2.31,1.2,0.74,0.53,0.62,0.5
187,2011-01-16,Barcelona,4.05,0.5,0.83,0.68,0.68,Malaga,1.03,2.2,0.47,0.56,0.31,1.0
188,2011-01-16,Valencia,1.67,1.0,0.6,0.46,0.47,La Coruna,0.79,1.6,0.42,0.63,0.43,1.0
189,2011-01-17,Ath Madrid,1.75,1.2,0.62,0.54,0.39,Mallorca,1.55,1.5,0.5,0.61,0.44,1.0
190,2011-01-22,Barcelona,3.97,0.5,0.81,0.69,0.7,Santander,0.55,1.3,0.5,0.58,0.44,1.0
191,2011-01-22,Sevilla,1.65,1.5,0.62,0.53,0.46,Levante,0.81,1.8,0.42,0.53,0.32,1.0
192,2011-01-22,Valencia,2.03,1.1,0.63,0.47,0.45,Malaga,1.37,2.5,0.48,0.55,0.3,1.0
193,2011-01-23,Almeria,1.31,2.5,0.51,0.6,0.31,Osasuna,0.85,1.8,0.51,0.5,0.41,1.0
194,2011-01-23,Getafe,1.23,1.9,0.62,0.54,0.4,Espanol,2.1,1.4,0.55,0.5,0.46,0.0
195,2011-01-23,Real Madrid,2.06,1.1,0.74,0.54,0.64,Mallorca,1.33,1.4,0.5,0.61,0.45,1.0
196,2011-01-23,Sp Gijon,0.97,0.9,0.51,0.5,0.56,Ath Madrid,1.63,1.2,0.57,0.54,0.4,1.0
